"DATE","WEIGHT","TOE","POP","REC"
1994-11-03,29,"1//3710100",512,FALSE
1995-04-04,27,"1//37104090",101,FALSE
1995-09-28,26,"1//37106070",497,FALSE
1995-10-27,26,"1//37106070",653,FALSE
1995-09-28,29,"1//37107080",497,FALSE
1994-11-03,30,"1//372090",512,FALSE
1994-11-03,23,"1//373060",512,FALSE
1995-09-28,42,"1//37306070",497,FALSE
1995-10-27,44,"1//37306070",653,FALSE
1994-11-03,30,"1//373090",512,FALSE
1994-11-03,28,"1//374060",512,FALSE
1995-09-28,23,"1//37406070",497,FALSE
1995-10-28,28,"1//37406070",653,FALSE
1994-10-04,30,"1//3750",178,FALSE
1994-11-03,32,"1//3750",512,FALSE
1995-09-28,43,"1//37506070",497,FALSE
1994-10-04,20,"1//3770",178,FALSE
1994-11-03,26,"1//3770",512,FALSE
1995-04-04,32,"1//38103090",101,FALSE
1995-05-02,42,"1//38103090",78,TRUE
1995-09-14,76,"1//38105070",270,FALSE
1995-09-28,19,"1//381060100",497,FALSE
1995-09-28,69,"1//38107090",497,FALSE
1994-10-04,25,"1//3820",178,FALSE
1994-11-04,35,"1//3820",512,FALSE
1994-12-13,40,"1//3820",332,FALSE
1995-01-11,28,"1//3820",196,FALSE
1995-02-08,31,"1//3820",116,FALSE
1995-04-04,27,"1//38203070",101,FALSE
1995-04-04,33,"1//38204070",101,FALSE
1995-04-04,34,"1//38204080",101,FALSE
1995-04-04,29,"1//38205070",101,FALSE
1995-04-19,33,"1//38205070",62,FALSE
1995-09-29,24,"1//382090100",497,FALSE
1995-04-04,32,"1//38304070",101,FALSE
1995-04-05,27,"1//38305060",101,FALSE
1995-05-03,38,"1//38305060",78,FALSE
1994-11-04,22,"1//383070",512,FALSE
1994-12-13,34,"1//383070",332,FALSE
1995-04-05,25,"1//38405060",101,FALSE
1995-04-05,39,"1//38405080",101,FALSE
1995-05-02,42,"1//38405080",78,FALSE
1995-09-29,21,"1//38408090",497,FALSE
1995-09-29,40,"1//384090100",497,FALSE
1994-11-04,24,"1//385070",512,FALSE
1994-12-15,22,"1//385070",332,FALSE
1995-09-29,45,"1//38507080",497,FALSE
1994-11-04,32,"1//385080",512,FALSE
1994-06-11,20,"1//4070",27,FALSE
1994-06-28,44,"1//4070",30,FALSE
1994-12-13,35,"1//42070",332,FALSE
1994-10-05,34,"1//42080",178,FALSE
1994-10-25,45,"1//42080",211,FALSE
1994-11-17,33,"1//42080",436,FALSE
1994-10-05,23,"1//43080",178,FALSE
1994-10-25,27,"1//43080",211,FALSE
1994-11-17,26,"1//43080",436,FALSE
1995-03-04,34,"1//43090",147,FALSE
1995-08-08,48,"1//43090",170,FALSE
1995-09-12,54,"1//43090",270,FALSE
1994-10-06,23,"1//45060",178,FALSE
1994-11-04,29,"1//45060",512,FALSE
1994-12-14,25,"1//45080",332,FALSE
1995-01-10,25,"1//45080",196,FALSE
1995-02-07,24,"1//45080",116,FALSE
1995-03-03,38,"1//45102060",147,FALSE
1995-04-06,29,"1//45104070",101,FALSE
1995-05-02,41,"1//45104070",78,TRUE
1995-04-06,38,"1//45104090",101,FALSE
1995-04-06,36,"1//45105080",101,FALSE
1995-05-02,38,"1//45105080",78,TRUE
1995-09-29,20,"1//451060100",497,FALSE
1995-09-29,23,"1//451070100",497,FALSE
1995-04-06,39,"1//45203080",101,FALSE
1995-09-29,19,"1//452090100",497,FALSE
1994-10-04,21,"1//4530",178,FALSE
1994-11-04,23,"1//4530",512,FALSE
1994-12-13,31,"1//4530",332,FALSE
1994-11-04,42,"1//453060",512,FALSE
1994-12-14,37,"1//453060",332,FALSE
1995-01-11,39,"1//453060",196,FALSE
1995-02-07,43,"1//453060",116,FALSE
1995-03-14,41,"1//453060",72,FALSE
1995-09-29,13,"1//45306090",497,FALSE
1995-10-29,20,"1//45306090",653,FALSE
1995-11-23,21,"1//45306090",542,FALSE
1995-12-20,19,"1//45306090",398,FALSE
1995-09-29,27,"1//453070100",497,FALSE
1995-09-12,48,"1//45405080",270,FALSE
1995-09-28,49,"1//45405080",497,FALSE
1994-11-04,31,"1//4550100",512,FALSE
1995-05-03,34,"1//46104080",78,FALSE
1995-09-29,49,"1//461070100",497,FALSE
1995-09-29,42,"1//46107080",497,FALSE
1995-05-03,39,"1//46203070",78,TRUE
1995-09-29,32,"1//46207080",497,FALSE
1995-10-27,54,"1//462090100",653,FALSE
1994-11-04,29,"1//4630100",512,FALSE
1995-05-04,41,"1//46305060",78,TRUE
1995-10-27,40,"1//46406070",653,FALSE
1995-10-27,36,"1//46406090",653,FALSE
1995-11-22,27,"1//46406090",542,FALSE
1995-12-19,27,"1//46406090",398,FALSE
1996-01-16,26,"1//46406090",186,FALSE
1996-02-13,24,"1//46406090",125,FALSE
1995-10-27,27,"1//46407080",653,FALSE
1994-11-17,29,"1//4650",436,FALSE
1994-10-05,21,"1//4660",178,FALSE
1994-11-02,26,"1//4660",512,FALSE
1994-11-17,25,"1//4660",436,FALSE
1994-12-14,26,"1//4660",332,FALSE
1995-01-10,27,"1//4660",196,FALSE
1994-10-05,26,"1//4680",178,FALSE
1995-09-13,57,"1//47102080",270,FALSE
1995-09-28,44,"1//47102080",497,FALSE
1995-10-27,55,"1//47102080",653,FALSE
1995-11-23,44,"1//47102080",542,FALSE
1995-09-27,48,"1//47103090",497,FALSE
1995-10-27,47,"1//47103090",653,FALSE
1995-11-22,38,"1//47104060",542,FALSE
1995-09-12,42,"1//47104070",270,FALSE
1995-09-27,42,"1//47104070",497,FALSE
1995-09-12,39,"1//47105060",270,FALSE
